,,,,,,
,"Instrucciones: (Revisar: """,,,,,
,5,Lo recomiendo 100%,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente producto, 100% lo recomiendo",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Gran producto,sabor y calidad.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy buen producto,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,productos de calidad y entra super rapida,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Muy buena marca, los dulces son muy buenos y el viaje está muy deli",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Es un gran producto y la atención y seguimiento de el site es muy bueno! Volvería a comprar sin duda,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente producto si lo recomiendo bastante interesante, gracias.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Muy práctico, 1000 % efectivo para toda ocasión. Lo recomiendo mucho",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente producto. Es mi segunda compra y todo bien,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Lo recomiendo al 100%,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Son dulces que cumple con su objetivo, una experiencia muy buena, lo recomiendo bastante 1000/10",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"buen producto, pega chido",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Increíble producto nunca decepciona,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente producto, sabe muy rico y de efectos duraderos",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"muy buen producto, recomiendo",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Tienen un muy buen sabor y buen efecto.,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Productos de calidad! 100% recomendado,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,saben ricos los caramelos y tienen un efecto deseado con un caramelo basta ya que no soy consumidor del diario,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,Tal vez por estar acostumbrado a dosis fuertes que no sentí que me pegara,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,3,Te deja un efecto leve pero duradero,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Pa alegrar la tarde (:,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"Excelente producto, 100% lo recomiendo",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente producto altamente recomendado,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente producto ya lo recomendé a mis amigos y estámos preparando el dinero para el siguiente envío,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Buen producto 👌,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"Fue un buen servicio, llego justo a tiempo, me encantaría que se pudiera solo rastrear el envio como en rappi o uber eats, en vez de sacarte al buscador predeterminado del telefono. Cambiando de tema, me gusta mucho que si se sepa con exactitud cuando llega el envió con el reloj que indica cuando llegará.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente producto. 100 recomendable 😻,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Por supuesto que es un excelente producto, se siente muy a gusto el tryp, buen sabor y el high es muy bueno... Recomendado.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"Buenos productos y entrega rápida, sin duda volvería a comprar",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Ta chido 👍,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"es rápido en el mismo dia y sin tantas complicaciones en la compra, lo recomiendo 100%",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,productos increíbles! súper recomendado,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,100% recomendado para algo tranqui y de buen sabor,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"los dulces super buenos , pegan muy agusto",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente high! Super suave el viajee,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy buen producto y efecto tarda muy poco en hacer efecto y el sabor es muy bueno aparte de que llegó ese mismo día que lo pedí y todo discreto,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,Si lo recomiendo,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,3,"No lo he podido probar, dice que hay que dividirlo pero no se puede ya que es un caramelo duro",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,La verdad muy buen producto y la calidad uff excelente 👌,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,,Todo súper bien,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy buenos productos y el envío bien,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"Reacción moderada con porción experta, buen trip",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente producto buen viaje,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente producto, 👌 lo recomiendo 👍",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Un producto muy bien elaborado,1000000% lo recomiendo",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Buen sabor, duración y potencia. Es discreto y no tuve problema por llevarlo en mi viaje.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente producto, 100% lo recomiendo si no consumes seguido, pero si lo haces.. esto no te hará ni consquillas.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"El producto es genial, no me generó alguna crisis ni nada, es más me mantuvo más consciente.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy buen producto y a precio accesible,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"Buenas, pero necesite comerme todo el paquete para sentirme a gusto",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy buen producto,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Todo 10/10 espero comprar pronto de nuevo,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Muy buenas las gomitas, si no eres consumidor promedio o avanzado solo comer menos de 5 a 10 mg, si ya eres avanzando solo como la mitad con eso te pondrá bien",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Muy buen producto para experimentados , dura y pega bien ! Recomendado al 100",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente producto, con la mitad es suficiente, potente.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente producto 100% l,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente producto buen viaje,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente trip y eso que nos comimos solo la mitad,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,2,50% recomendado,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Es un buen comestible, pero si eres un consumidor frecuente uno no te va hacer nada, lo recomendable es comer dos si quieres explotar, es un gran producto y de calidad",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente producto,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,lo recomiendo,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy buen producto,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Fue exactamente lo esperado muy recomendable,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Me encanta la rapidez con la que llegó el producto 100 de 100 recomendado,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"Tiene muy buen sabor, potencia decente",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,Todo bien.,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente producto, se disfruta mucho el Tryp, lo recomiendo totalmente 💫✨10/10",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Es un producto que cumple con su cometido, sabe rico y te coloca, dura poco su efecto pero es sabroso mientras dura.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"Excelente producto,",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Una sola gomita pega fuerte si eres nuevo con solo una sientes un buen trip,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Tienen un trip que no te da paranoia.,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Esta perrisimo se me hace super Rico El sabor te HACE saber que TE pondra hasta atras,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Muy bien producto, sabor muy bueno, solo que el efecto tarda en llegar dependiendo la persona",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Gran producto, rápida entrega.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Aguas, se ven inofencivas pero si me pegaron duro y me comí como 3/4, buen producto",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Recomendado,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Gran producto potencia ideal para un día de relax,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,Excelente producto aunque con este sabor venían un poco desechos los dulces,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Es una maravilla potente ⭐,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Es muy buen producto cumple y te pone bien,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Me gusta muy buenas expectativas y las cumple,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Buen producto, muy recomendable y claro lo volvería a pedir ✨",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente producto, pegan rápido 👌🏾",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,La calidad es muy Buena,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
